"","GPNJ7M_10_sample_2B","GPNJ7M_11_sample_2C","GPNJ7M_12_sample_2D","GPNJ7M_13_sample_2E","GPNJ7M_14_sample_2F","GPNJ7M_15_sample_2G","GPNJ7M_16_sample_2H","GPNJ7M_1_sample_1A","GPNJ7M_2_sample_1B","GPNJ7M_3_sample_1C","GPNJ7M_4_sample_1D","GPNJ7M_5_sample_1E","GPNJ7M_6_sample_1F","GPNJ7M_7_sample_1G","GPNJ7M_8_sample_1H","GPNJ7M_9_sample_2A"
"PTI98_002223",11.3475642967382,3.93449477494817,4.16080415996083,15.6631501593053,12.8182601489493,22.7746889121206,16.1166420225277,8.19294962710204,15.4376027354022,11.0589116985859,18.5770953055522,21.3194859655829,10.806916417885,9.37929259996823,14.1730865004053,6.10443187333413
"PTI98_002242",11.3475642967382,14.4264808414766,13.3145733118746,5.22105005310177,6.99177826306325,2.16901799163053,10.9362928010009,20.2918403554969,8.82148727737271,22.1178233971719,8.57404398717793,11.8441588697683,12.6080691541992,26.3928931301432,12.4723161203566,3.05221593666707
"PTI98_002274",30.2601714579686,6.55749129158028,6.65728665593732,20.8842002124071,3.49588913153163,1.08450899581527,1.06896095047377,28.580056838728,2.20537181934318,11.0589116985859,12.8610659807669,9.47532709581464,4.50288184078543,0.872492334880765,3.40154076009726,18.3132956200024
"PTI98_002311",0,10.4919860665285,9.98592998390598,10.4421001062035,13.9835565261265,6.5070539748916,10.6484956220272,18.9581043696896,4.41074363868635,11.0589116985859,5.71602932478529,8.29091120883781,9.00576368157085,32.7184625580287,15.8738568804539,6.10443187333413
"PTI98_002336",7.56504286449215,3.27874564579014,3.32864332796866,5.22105005310177,6.99177826306325,29.2817428870122,7.07158782621112,7.62134849032748,15.4376027354022,33.1767350957578,15.7190806431595,10.6597429827915,2.70172910447126,11.9967696046105,15.3069334204377,6.10443187333413
"PTI98_002403",0,6.55749129158028,3.32864332796866,10.4421001062035,6.99177826306325,7.59156297070686,10.0729012640798,10.6698878864585,6.61611545802953,0,10.0030513183743,5.92207943488415,1.80115273631417,13.9598773580922,11.9053926603404,0
"PTI98_002423",34.0426928902147,53.7714285909583,92.3698523511303,41.7684004248141,142.16615801562,196.296128242563,318.18033829679,59.2559845122961,178.635117366797,55.2945584929297,108.60455717092,113.703925149776,42.327089303383,86.1586180694756,83.9046720823991,64.0965346700084
"PTI98_002430",0,0.655749129158029,0,0,74.5789681393414,35.7887968619038,163.797708718751,0,17.6429745547454,0,1.42900733119632,0,1.80115273631417,0,0,6.10443187333413
"PTI98_002435",128.605728696366,30.8202090704273,49.9296499195299,88.75785090273,5.82648188588605,6.5070539748916,3.78247720936874,90.8845807471551,2.20537181934318,33.1767350957578,40.012205273497,33.1636448353512,63.040345770996,17.0136005301749,10.771545740308,125.14085340335
"PTI98_002458",102.128078670644,51.1484320743262,60.7477407354281,104.421001062035,26.8018166750758,43.3803598326106,75.4850886565327,80.9768277097294,41.9020645675204,55.2945584929297,90.0274618653683,85.2779438623317,45.0288184078543,101.863480097329,77.1015905622046,97.6709099733462
"PTI98_002459",7.56504286449215,4.5902439041062,2.4964824959765,10.4421001062035,2.33059275435442,3.2535269874458,7.7294099495796,6.38287936064926,0,0,2.85801466239264,11.8441588697683,5.40345820894251,11.9967696046105,7.37000498021073,12.2088637466683
"PTI98_002463",15.1300857289843,7.21324042073831,16.6432166398433,10.4421001062035,22.140631166367,36.873305857719,23.517140910423,6.28761250452017,17.6429745547454,0,21.4351099679448,13.0285747567451,3.60230547262834,21.1579391208586,17.5746272605025,6.10443187333413
"PTI98_002483",18.9126071612304,20.3282230038989,29.957789951718,10.4421001062035,33.7935949381391,17.3521439330443,19.5702081702122,25.7220511548552,19.8483463740886,0,17.1480879743559,30.7948130613976,21.61383283577,22.6848007068999,22.1100149406322,36.6265912400048
"PTI98_002508",7.56504286449215,6.55749129158028,7.48944748792949,10.4421001062035,30.2977058066074,6.5070539748916,28.4508068356866,14.7663627000095,13.2322309160591,0,10.0030513183743,14.212990643722,6.3040345770996,26.174770046423,23.8107853206808,0
"PTI98_002513",7.56504286449215,12.4592334540025,7.48944748792949,10.4421001062035,15.1488529033037,10.8450899581527,14.0609478870012,6.28761250452017,30.8752054708045,0,14.2900733119632,8.29091120883781,10.806916417885,5.67120017672497,7.93692844022694,6.10443187333413
"PTI98_002515",0,18.3609756164248,11.6502516478903,10.4421001062035,6.99177826306325,8.67607196652213,8.09943489397436,7.71661534645657,0,0,4.28702199358896,3.55324766093049,8.10518731341377,15.0504927766932,8.50385190024315,18.3132956200024
"PTI98_002519",7.56504286449215,9.1804878082124,7.48944748792949,5.22105005310177,26.8018166750758,18.4366529288595,25.3672656323969,12.3846912967821,13.2322309160591,22.1178233971719,2.85801466239264,8.29091120883781,6.3040345770996,14.6142466092528,17.0077038004863,9.1566478100012
"PTI98_002536",7.56504286449215,40.6564460077978,20.8040207998041,10.4421001062035,4.66118550870884,4.33803598326106,9.90844573323767,21.3397757729169,6.61611545802953,0,5.71602932478529,7.10649532186098,11.7074927860421,15.2686158604134,5.6692346001621,0
"PTI98_002556",0,0.655749129158029,6.65728665593732,0,41.9506695783795,48.802904811687,13.4853535290538,0.476334280645467,35.2859491094908,0,4.28702199358896,1.18441588697683,0,0.654369251160574,0.56692346001621,0
"PTI98_002562",3.78252143224607,9.83623693737043,9.98592998390598,5.22105005310177,31.4630021837846,13.0141079497832,25.8606322249232,15.7190312613004,8.82148727737271,22.1178233971719,14.2900733119632,11.8441588697683,16.2103746268275,22.0304314557393,23.2438618606646,12.2088637466683
"PTI98_002594",22.6951285934764,11.1477351956865,12.4824124798825,10.4421001062035,23.3059275435442,13.0141079497832,88.8882144201654,20.5776409238842,17.6429745547454,44.2356467943438,21.4351099679448,10.6597429827915,17.1109509949846,13.9598773580922,12.4723161203566,18.3132956200024
"PTI98_002623",34.0426928902147,30.1644599412693,60.7477407354281,41.7684004248141,69.9177826306325,36.873305857719,36.0979890198451,34.5818687748609,28.6698336514613,11.0589116985859,38.5831979423007,63.9584578967488,49.5317002486397,43.1883705765979,46.4877237213292,30.5221593666707
"PTI98_002629",18.9126071612304,1.96724738747409,9.98592998390598,5.22105005310177,9.32237101741767,14.0986169455985,14.1431756524222,5.33494394322923,24.2590900127749,0,11.4320586495706,1.18441588697683,6.3040345770996,9.37929259996823,3.40154076009726,3.05221593666707
"PTI98_002647",3.78252143224607,14.4264808414766,12.4824124798825,5.22105005310177,2.33059275435442,9.7605809623374,14.0609478870012,17.5291015277532,13.2322309160591,0,15.7190806431595,7.10649532186098,10.806916417885,13.7417542743721,14.1730865004053,12.2088637466683
"PTI98_002652",0,8.52473867905437,9.98592998390598,5.22105005310177,2.33059275435442,3.2535269874458,8.26389042481648,13.3373598580731,6.61611545802953,11.0589116985859,2.85801466239264,7.10649532186098,10.806916417885,11.9967696046105,9.63769882027558,9.1566478100012
"PTI98_002655",3.78252143224607,30.1644599412693,19.1396991358198,5.22105005310177,6.99177826306325,13.0141079497832,8.67502925192178,6.19234564839107,8.82148727737271,0,8.57404398717793,4.73766354790732,8.10518731341377,13.5236311906519,6.80308152019452,9.1566478100012
"PTI98_002669",3.78252143224607,6.55749129158028,4.16080415996083,10.4421001062035,4.66118550870884,10.8450899581527,8.18166265939542,8.47875019548932,15.4376027354022,11.0589116985859,2.85801466239264,2.36883177395366,6.3040345770996,4.36246167440383,2.83461730008105,3.05221593666707
"PTI98_002678",41.6077357547068,11.8034843248445,19.971859967812,0,10.4876673945949,4.33803598326106,14.4309728313959,50.6819674606777,17.6429745547454,22.1178233971719,31.4381612863191,21.3194859655829,20.713256467613,36.426554981272,32.8815606809402,15.2610796833353
"PTI98_002681",7.56504286449215,13.1149825831606,9.98592998390598,5.22105005310177,2.33059275435442,8.67607196652213,3.98804662292139,10.6698878864585,6.61611545802953,22.1178233971719,14.2900733119632,3.55324766093049,8.10518731341377,7.6343079302067,11.9053926603404,0
"PTI98_002693",26.4776500257225,9.83623693737043,4.99296499195299,5.22105005310177,12.8182601489493,14.0986169455985,8.46945983836913,19.1486380819478,11.0268590967159,0,10.0030513183743,8.29091120883781,9.00576368157085,14.3961235255326,6.23615806017831,6.10443187333413
"PTI98_002696",3.78252143224607,2.62299651663211,8.32160831992165,5.22105005310177,4.66118550870884,7.59156297070686,7.11270170892165,15.337963836784,2.20537181934318,0,15.7190806431595,10.6597429827915,9.00576368157085,9.81553876740861,14.1730865004053,9.1566478100012
"PTI98_002703",18.9126071612304,10.4919860665285,22.4683424637885,20.8842002124071,52.4383369729744,42.2958508367954,39.8393523465033,23.6261803200152,41.9020645675204,22.1178233971719,15.7190806431595,20.1350700786061,50.4322766167968,17.2317236138951,37.4169483610699,21.3655115566695
"PTI98_002712",3.78252143224607,15.0822299706347,2.4964824959765,0,19.8100384120126,19.5211619246748,9.78510408510608,4.95387651871286,19.8483463740886,0,5.71602932478529,14.212990643722,9.00576368157085,9.37929259996823,4.53538768012968,9.1566478100012
"PTI98_002730",7.56504286449215,12.4592334540025,1.66432166398433,15.6631501593053,0,1.08450899581527,0.0822277654210595,8.28821648323113,2.20537181934318,0,1.42900733119632,16.5818224176756,5.40345820894251,9.37929259996823,10.771545740308,3.05221593666707
"PTI98_002744",11.3475642967382,13.7707317123186,5.82512582394516,5.22105005310177,23.3059275435442,10.8450899581527,17.1033752075804,6.85921364129473,11.0268590967159,0,12.8610659807669,5.92207943488415,6.3040345770996,15.922985111574,5.6692346001621,6.10443187333413
"PTI98_002745",52.955300051445,23.606968649689,21.6361816317963,20.8842002124071,23.3059275435442,63.9860307531007,52.6257698694781,11.3367558793621,88.2148727737271,44.2356467943438,34.2961759487117,28.4259812874439,42.327089303383,12.4330157720509,27.7792495407943,51.8876709233401
"PTI98_002756",3.78252143224607,20.3282230038989,9.98592998390598,10.4421001062035,22.140631166367,17.3521439330443,35.3579391310556,5.04914337484195,33.0805772901477,11.0589116985859,10.0030513183743,8.29091120883781,7.20461094525668,4.36246167440383,3.40154076009726,3.05221593666707
"PTI98_002762",0,4.5902439041062,9.15376915191382,5.22105005310177,12.8182601489493,13.0141079497832,18.7890443987121,7.14501420968201,17.6429745547454,0,7.14503665598161,7.10649532186098,8.10518731341377,4.58058475812402,2.83461730008105,6.10443187333413
"PTI98_002767",11.3475642967382,7.21324042073831,4.16080415996083,5.22105005310177,12.8182601489493,3.2535269874458,12.0052537514747,18.0054358083987,4.41074363868635,0,30.0091539551228,15.3974065306988,8.10518731341377,10.9061541860096,15.8738568804539,15.2610796833353
"PTI98_002804",45.3902571869529,53.7714285909583,43.2723632635926,52.2105005310177,59.4301152360377,68.3240667363618,94.0685636416921,37.0588070342174,101.447103689786,0,42.8702199358896,43.8233878181427,57.6368875620535,43.4064936603181,58.9600398416859,64.0965346700084
"PTI98_002807",15.1300857289843,3.93449477494817,11.6502516478903,10.4421001062035,17.4794456576581,3.2535269874458,16.4866669669224,7.81188220258566,6.61611545802953,0,8.57404398717793,5.92207943488415,11.7074927860421,13.3055081069317,5.6692346001621,6.10443187333413
"PTI98_002809",3.78252143224607,11.1477351956865,8.32160831992165,10.4421001062035,8.15707464024046,11.9295989539679,2.83685790702655,17.9101689522696,8.82148727737271,0,5.71602932478529,3.55324766093049,18.0115273631417,16.5773543627345,13.606163040389,3.05221593666707
"PTI98_002852",26.4776500257225,66.8864111741189,64.0763840633967,41.7684004248141,58.2648188588605,26.0282158995664,32.8499922857133,40.774214423252,22.0537181934318,110.589116985859,31.4381612863191,30.7948130613976,60.3386166665247,28.1378777999047,32.8815606809402,21.3655115566695
"PTI98_002857",18.9126071612304,17.7052264872668,18.3075383038276,31.3263003186106,16.3141492804809,11.9295989539679,20.8447385342386,18.9581043696896,22.0537181934318,33.1767350957578,12.8610659807669,29.6103971744207,18.9121037312988,22.0304314557393,13.0392395803728,27.4699434300036
"PTI98_002867",11.3475642967382,18.3609756164248,4.99296499195299,20.8842002124071,2.33059275435442,8.67607196652213,9.37396525800079,7.2402810658111,24.2590900127749,11.0589116985859,5.71602932478529,13.0285747567451,16.2103746268275,7.19806176276631,9.07077536025936,6.10443187333413
"PTI98_002869",15.1300857289843,8.52473867905437,4.16080415996083,36.5473503717124,5.82648188588605,19.5211619246748,16.7744641458961,8.6692839077475,17.6429745547454,0,14.2900733119632,8.29091120883781,47.7305475123255,20.9398160371384,43.6531064212482,18.3132956200024
"PTI98_002886",18.9126071612304,6.55749129158028,19.1396991358198,0,6.99177826306325,8.67607196652213,7.07158782621112,38.5830767322828,4.41074363868635,0,8.57404398717793,21.3194859655829,18.9121037312988,31.6278471394277,23.8107853206808,18.3132956200024
"PTI98_002887",0,3.93449477494817,4.16080415996083,10.4421001062035,2.33059275435442,5.42254497907633,6.61933511639529,15.337963836784,4.41074363868635,11.0589116985859,7.14503665598161,2.36883177395366,15.3097982586705,9.37929259996823,3.40154076009726,9.1566478100012
"PTI98_002893",22.6951285934764,20.9839721330569,27.4613074557415,26.1052502655088,15.1488529033037,42.2958508367954,25.5728350459495,21.9113769096915,41.9020645675204,11.0589116985859,17.1480879743559,22.5039018525598,22.5144092039271,32.7184625580287,22.6769384006484,12.2088637466683
"PTI98_002899",11.3475642967382,6.55749129158028,9.15376915191382,5.22105005310177,1.16529637717721,3.2535269874458,1.97346637010543,10.7651547425876,2.20537181934318,0,4.28702199358896,8.29091120883781,11.7074927860421,7.85243101392689,18.1415507205187,12.2088637466683
"PTI98_002907",26.4776500257225,7.86898954989634,14.978894975859,31.3263003186106,12.8182601489493,15.1831259414137,22.4070660772387,39.1546778690574,17.6429745547454,0,18.5770953055522,26.0571495134902,33.3213256218122,31.8459702231479,26.0784791607457,15.2610796833353
"PTI98_002958",7.56504286449215,12.4592334540025,8.32160831992165,0,5.82648188588605,11.9295989539679,9.16839584444814,3.04853939613099,11.0268590967159,11.0589116985859,8.57404398717793,4.73766354790732,2.70172910447126,1.30873850232115,3.40154076009726,3.05221593666707
"PTI98_002980",15.1300857289843,23.606968649689,25.7969857917571,15.6631501593053,15.1488529033037,28.1972338911969,21.5436745403176,10.7651547425876,44.1074363868635,11.0589116985859,21.4351099679448,18.9506541916293,31.520172885498,15.0504927766932,18.7084741805349,12.2088637466683
"PTI98_002982",7.56504286449215,7.21324042073831,8.32160831992165,10.4421001062035,16.3141492804809,6.5070539748916,12.5397342267116,14.0042278509767,19.8483463740886,0,10.0030513183743,10.6597429827915,18.9121037312988,10.4699080185692,8.50385190024315,24.4177274933365
"PTI98_002984",11.3475642967382,4.5902439041062,3.32864332796866,41.7684004248141,8.15707464024046,9.7605809623374,8.71614313463231,13.6231604264604,4.41074363868635,0,10.0030513183743,11.8441588697683,6.3040345770996,8.72492334880765,7.93692844022694,6.10443187333413
"PTI98_003000",15.1300857289843,14.4264808414766,6.65728665593732,0,9.32237101741767,5.42254497907633,7.97609324584277,10.9556884548457,6.61611545802953,0,2.85801466239264,7.10649532186098,8.10518731341377,14.6142466092528,5.6692346001621,9.1566478100012
"PTI98_003009",18.9126071612304,46.55818817022,34.1185941116788,20.8842002124071,23.3059275435442,60.7325037656549,28.6563762492392,16.290632398075,55.1342954835794,44.2356467943438,11.4320586495706,20.1350700786061,16.2103746268275,18.3223390324961,10.771545740308,27.4699434300036
"PTI98_003030",0,3.93449477494817,4.16080415996083,0,1.16529637717721,5.42254497907633,11.100748331843,11.1462221671039,0,0,4.28702199358896,14.212990643722,5.40345820894251,4.79870784184421,11.9053926603404,24.4177274933365
"PTI98_003031",102.128078670644,0.655749129158029,1.66432166398433,36.5473503717124,0,0,0.452252709815827,40.5836807109938,0,22.1178233971719,30.0091539551228,18.9506541916293,4.50288184078543,3.27184625580287,18.1415507205187,73.2531824800096
"PTI98_003033",30.2601714579686,22.951219520531,16.6432166398433,41.7684004248141,20.9753347891898,61.8170127614702,19.1179554603963,15.8142981174295,52.9289236642363,0,21.4351099679448,20.1350700786061,11.7074927860421,19.1948313673768,17.0077038004863,24.4177274933365
"PTI98_003037",26.4776500257225,85.9031359197017,49.0974890875378,15.6631501593053,58.2648188588605,78.0846476986992,64.9188207999265,43.9180206755121,99.241731870443,55.2945584929297,42.8702199358896,48.56105136605,74.7478385570381,36.426554981272,49.8892644814265,61.0443187333413
"PTI98_003051",18.9126071612304,9.83623693737043,13.3145733118746,15.6631501593053,26.8018166750758,10.8450899581527,23.1882298487388,12.194157584524,24.2590900127749,11.0589116985859,14.2900733119632,17.7662383046524,10.806916417885,12.6511388557711,15.8738568804539,21.3655115566695
"PTI98_003091",11.3475642967382,7.21324042073831,19.1396991358198,26.1052502655088,11.6529637717721,7.59156297070686,11.1418622145536,28.7705905509862,8.82148727737271,11.0589116985859,18.5770953055522,20.1350700786061,21.61383283577,14.832369692973,27.7792495407943,30.5221593666707
"PTI98_003092",7.56504286449215,9.1804878082124,13.3145733118746,0,3.49588913153163,4.33803598326106,5.42703251778993,22.7687786148533,6.61611545802953,11.0589116985859,14.2900733119632,8.29091120883781,9.90634004972794,13.0873850232115,15.3069334204377,9.1566478100012
"PTI98_003093",26.4776500257225,9.1804878082124,4.99296499195299,31.3263003186106,18.6447420348353,14.0986169455985,19.4879804047911,26.7699865722753,6.61611545802953,11.0589116985859,47.1572419294786,20.1350700786061,12.6080691541992,16.3592312790143,20.4092445605836,30.5221593666707
"PTI98_003095",34.0426928902147,54.4271777201164,63.2442232314046,20.8842002124071,13.9835565261265,13.0141079497832,21.5025606576071,19.4344386503351,35.2859491094908,11.0589116985859,65.7343372350308,36.7168924962817,33.3213256218122,44.7152321626392,69.1646621219777,36.6265912400048
"PTI98_003111",26.4776500257225,29.5087108121113,46.6010065915613,41.7684004248141,43.1159659555567,80.2536656903297,45.1019293334512,17.9101689522696,33.0805772901477,22.1178233971719,41.4412126046933,24.8727336265134,17.1109509949846,53.8764016788873,31.7477137609078,18.3132956200024
"PTI98_003122",18.9126071612304,26.8857142954792,14.1467341438668,20.8842002124071,16.3141492804809,17.3521439330443,14.9654533066328,22.9593123271115,17.6429745547454,11.0589116985859,21.4351099679448,20.1350700786061,5.40345820894251,35.335939562671,15.3069334204377,12.2088637466683
