,rRNA,protein_coding,Other,snRNA,snoRNA,processed_pseudogene,tRNA
sample_1A,8,5,2,0,0,0,0
sample_1B,10,8,2,0,0,0,0
sample_1C,8,5,0,0,0,0,0
sample_1D,8,2,2,0,0,0,0
sample_1E,8,6,2,0,0,0,0
sample_1F,8,3,2,0,0,0,0
sample_1G,8,5,2,0,0,0,0
sample_1H,8,2,2,0,0,0,0
sample_2A,6,3,2,0,0,0,0
sample_2B,8,4,2,0,0,0,0
sample_2C,8,3,2,0,0,0,0
sample_2D,10,2,2,0,0,0,0
sample_2E,8,2,2,0,0,0,0
sample_2F,8,5,2,0,0,0,0
sample_2G,8,3,2,0,0,0,0
sample_2H,10,6,2,0,0,0,0
