metabolite,Exuding_mycelium,Exudophore,Fuzzy_mycelium,Nodule,baseline,exudophore_gain
AMP,9.22283860731346,8.993080465735327,4.571722266162467,9.770260259540658,6.897280436737963,2.0958000289973633
L-Cysteine,-0.8681103175312056,-0.889330791959255,-1.0602038507238851,-0.88933079195752,-0.9641570841275453,0.07482629216829029
Riboflavin,-0.17362206350624104,-0.177866158391851,-0.17420310621435264,-0.177866158391504,-0.17391258486029684,-0.00395357353155415
L-Tryptophan,-0.8681103175309778,-0.8893307919592554,-0.8710155310717629,-0.8893307919575197,-0.8695629243013703,-0.019767867657885074
L-Tyrosine,-1.7362206350624112,-1.7786615839185107,-1.7420310621435264,-1.7786615839150397,-1.7391258486029688,-0.03953573531554189
L-Histidine,-1.7362206350624108,-1.7786615839185105,-1.7420310621435262,-1.7786615839150401,-1.7391258486029684,-0.03953573531554211
L-Methionine,-1.7362206350624108,-1.7786615839185105,-1.7420310621435262,-1.7786615839150401,-1.7391258486029684,-0.03953573531554211
L-Glutamine,-4.427362619408922,-4.446653959796276,-4.355077655358816,-4.446653959787598,-4.391220137383868,-0.05543382241240735
L-Phenylalanine,-2.604330952593615,-2.667992375877766,-2.613046593215289,-2.6679923758725597,-2.6086887729044523,-0.05930360297331383
Glycine,-7.040374675178142,-7.114646335674042,-7.062718408400166,-7.114646335660046,-7.051546541789154,-0.06309979388488784
L-Proline,-3.472441270124821,-3.557323167837021,-3.4840621242870524,-3.5573231678300794,-3.4782516972059367,-0.07907147063108422
L-Alanine,-8.00397712763785,-8.003977127633181,-7.839139779645868,-8.003977127617905,-7.921558453641859,-0.08241867399132197
L-Serine,-4.340551587656255,-4.446653959796276,-4.355077655358815,-4.446653959787599,-4.347814621507535,-0.09883933828874092
L-Arginine,-4.3405515876560266,-4.446653959796276,-4.355077655358816,-4.4466539597876,-4.347814621507421,-0.0988393382888546
L-Isoleucine,-4.3405515876560266,-4.446653959796276,-4.355077655358816,-4.446653959787598,-4.347814621507421,-0.0988393382888546
L-Threonine,-4.3405515876560266,-4.446653959796277,-4.355077655358815,-4.446653959787599,-4.347814621507421,-0.0988393382888555
L-Lysine,-5.208661905187231,-5.3359847517555306,-5.226093186430577,-5.335984751745119,-5.217377545808905,-0.11860720594662588
L-Valine,-5.20866190518723,-5.3359847517555306,-5.226093186430576,-5.335984751745118,-5.217377545808903,-0.11860720594662766
L-Aspartate,-4.331870484480422,-4.4466539597963886,-4.260483495532753,-4.446653959787599,-4.296176990006588,-0.15047696978980074
L-Leucine,-6.944882540249642,-7.114646335674041,-6.968124248574105,-7.114646335660159,-6.9565033944118735,-0.15814294126216755
L-Asparagine,-3.290138103443425,-3.5573231678370205,-3.3894679644609917,-3.5573231678300794,-3.3398030339522085,-0.21752013388481206
L-Glutamate,-7.726181826027951,-8.00397712763341,-7.839139779645866,-8.003977127617677,-7.782660802836909,-0.22131632479650154
CO2,,2.7304616864249e-13,,,,
H+,,,-8.00397712757366,,-8.00397712757366,
Methanol,,0.0,,,,
O2,,0.0,,,,
Sucrose,5.32907051820075e-15,,-5.32907051820075e-15,,0.0,
Sulfate,-4.61852778244065e-14,,0.23618616311118573,,0.11809308155556977,
