,Exuding_mycelium,Fuzzy_mycelium,Exudophore,Nodule
BIOMASS_fungal,97.4888513508306,97.73076797644376,99.78579965777055,99.78579966681096
EX_cpd00007_e,,,0.0,
EX_cpd00011_e,,,2.730461686424897e-13,
EX_cpd00018_e,8.29630124995682,4.108895728901349,8.082649772278351,8.781150370678606
EX_cpd00023_e,-8.676507770223218,-8.79576911787991,-8.9807219691988,-8.980721970011823
EX_cpd00033_e,-7.906345844553041,-7.924599153877229,-7.982863972621644,-7.982863973343797
EX_cpd00035_e,-8.988472094551362,-8.795769117879885,-8.980721969199186,-8.980721970013064
EX_cpd00039_e,-5.849331081050568,-5.86384607858674,-5.98714797946567,-5.9871479800086425
EX_cpd00041_e,-4.864693682403994,-4.780400683062094,-4.989289982888302,-4.989289983340578
EX_cpd00048_e,-4.618527782440651e-14,0.21227543151858624,,
EX_cpd00051_e,-4.874442567541463,-4.886538398822122,-4.989289982888383,-4.989289983339177
EX_cpd00053_e,-4.971931418892183,-4.886538398822122,-4.9892899828885495,-4.989289983340578
EX_cpd00054_e,-4.874442567540392,-4.886538398821932,-4.989289982888218,-4.9892899833396624
EX_cpd00060_e,-1.949777027016748,-1.9546153595290114,-1.9957159931554136,-1.9957159933363364
EX_cpd00065_e,-0.9748885135082235,-0.9773076797645377,-0.9978579965777055,-0.9978579966681664
EX_cpd00066_e,-2.9246655405248223,-2.9319230392929145,-2.9935739897329703,-2.9935739900042138
EX_cpd00067_e,,-8.98072196910522,,
EX_cpd00069_e,-1.949777027016612,-1.9546153595288729,-1.9957159931554118,-1.9957159933362183
EX_cpd00076_e,5.3290705182007506e-15,-5.3290705182007506e-15,,
EX_cpd00084_e,-0.9748885135081498,-1.189583111283012,-0.9978579965777845,-0.9978579966680945
EX_cpd00107_e,-7.7991081080665685,-7.818461438115481,-7.982863972621686,-7.982863973344569
EX_cpd00116_e,,,0.0,
EX_cpd00119_e,-1.949777027016598,-1.9546153595289468,-1.995715993155363,-1.9957159933362627
EX_cpd00129_e,-3.899554054032825,-3.9092307190562328,-3.9914319863106495,-3.9914319866718335
EX_cpd00132_e,-3.694827466194829,-3.8030930032980796,-3.9914319863108174,-3.991431986672479
EX_cpd00156_e,-5.849331081049828,-5.863846078586548,-5.987147979466165,-5.98714798000876
EX_cpd00161_e,-4.874442567541662,-4.886538398820942,-4.989289982888527,-4.989289983340549
EX_cpd00220_e,-0.1949777027016305,-0.19546153595283305,-0.19957159931552948,-0.19957159933360555
