,Exuding_mycelium,Fuzzy_mycelium,Exudophore,Nodule
EX_cpd00322_e,-4.874442567541463,-4.886538398822122,-4.9892899828885495,-4.989289983340578
rxn00060,,,-5.098342807060171e-14,
rxn00078,0.4874442567541528,0.488653839883691,0.49892899828901605,0.49892899833405485
rxn00122,0.19497770270167009,0.19546153595287297,0.1995715993155411,0.1995715993336134
rxn00148,0.10723773648769636,0.10613771575946959,1.1368683772161605e-13,
rxn00154,0.10723773648769636,0.10613771575946959,,
rxn00168,,10.168203343442322,,14.967869950020532
rxn00170,8.296301249958372,,7.883078172962319,9.280079369012086
rxn00175,,,,0.4989289983340361
rxn00182,0.10723773648772081,-0.10613771575946959,2.273736754432321e-13,
rxn00191,0.21447547297539274,,,
rxn00237,,,,-0.04989289983288235
rxn00247,-0.1072377364877409,-0.10613771575946959,1.2321535874460406e-13,
rxn00248,0.1072377364876964,0.10613771575946959,1.1368683772161605e-13,0.0
rxn00250,8.1988123986044,,9.28007936817249,0.6985005976675827
rxn00260,-0.2144754729753928,-0.21227543151900824,1.1368683772161605e-13,
rxn00284,,,-1.1368683772161605e-13,
rxn00304,,0.0,,
rxn00330,-0.1072377364876964,-0.10613771575946959,,1.453372494917724e-13
rxn00340,0.10723773648772081,0.1061377157593239,,
rxn00392,0.19497770270173292,0.19546153595287297,0.1995715993155411,0.1995715993336012
rxn00409,,0.9773076797645216,0.997857996577625,
rxn00416,0.097488851350613,,,
rxn00432,,,0.0,
rxn00460,,,,0.0
rxn00467,0.1072377364876964,0.1061377157594185,,
rxn00506,1.1406195607979652,,,1.4967869950020554
rxn00507,-1.1406195607979652,,0.0,-1.496786995003061
rxn00533,,,,4.733018619284785e-13
rxn00566,,0.21227543151879455,,
rxn00623,,-3.1357915230292406,,-2.5112759582814874
rxn00747,0.0,,0.0,
rxn00770,0.0,,,
rxn00791,0.0,,,
rxn00839,0.9748885135082332,0.9773076797642943,0.997857996577693,0.9978579966679825
rxn01211,,,0.0,
rxn01353,,,,0.04989289983288705
rxn01465,,1.1368683772161605e-13,0.0,
rxn01673,,-0.9773076797645786,-0.997857996577625,
rxn01964,2.273736754432321e-13,,,
rxn02200,,,,0.0
rxn03801,-14.340610033706923,,,
rxn05222,0.9748885135081764,0.9773076797643512,0.9978579965777055,0.9978579966680741
rxn05224,0.1949777027017489,0.1954615359528588,0.19957159931554114,0.19957159933357743
rxn05231,0.9748885135083059,0.9773076797646156,0.997857996577625,0.9978579966678659
rxn05233,,,,0.04989289983288235
rxn05289,0.9748885135083059,,,1.0477508965006281
rxn05305,,,,-5.987147980008558
rxn05345,,,,-2.839572552028683e-13
rxn05467,,,2.273736754432321e-13,
rxn05468,,,0.0,
rxn05485,,,3.410605131648481e-13,
rxn05497,,-4.10889572890153,-0.1995715993161324,
rxn05651,-1.1368683772161605e-13,-0.21227543151858624,,
rxn05655,0.0,1.1368683772161605e-13,,
rxn05817,-0.9748885135083059,-0.9773076797644376,-0.9978579965777055,-0.9479650968351978
rxn05818,-0.9748885135083059,-1.9546153595290567,-1.99571599315533,-0.9978579966681096
rxn05819,-0.9748885135083059,-0.9773076797644376,-0.9978579965777055,-0.9978579966681096
rxn05846,-1.9497770270165153,-1.954615359528875,-1.9957159931554114,-2.045608893168693
rxn05847,-1.9497770270166117,-0.9773076797643425,-0.9978579965777863,-1.9957159933359097
rxn05848,-1.9497770270166117,-1.95461535952888,-1.9957159931554114,-1.9957159933362194
rxn06076,,0.9773076797645531,0.997857996577625,
rxn06209,,,,0.0
rxn06365,,,,0.0
rxn07087,0.0,0.0,,
rxn07095,-0.9748885135070027,-0.9773076797631473,-0.9978579965777692,-0.9978579966681097
rxn08154,-4.874442567541564,-4.886538398822154,-4.989289982888465,-4.989289983338931
rxn08170,-4.864693682404152,-4.780400683062169,-4.989289982888295,-4.989289983340541
rxn08856,-5.8493310810505665,-5.8638460785866755,-5.987147979465817,
rxn08982,0.0,0.0,0.0,4.417722118846674e-13
rxn09001,,,1.1368683772161605e-13,
rxn09003,,,0.0,
rxn09018,,0.0,,
rxn09193,-3.89955405403299,-3.909230719056552,-3.991431986310664,-3.9914319866717842
rxn09243,,,2.273736754432321e-13,
rxn09273,,,0.0,
rxn09295,,-1.1475483723681466,-1.4967869948669477,
rxn09304,,,-1.2972153955512877,
rxn09524,,,0.0,
rxn09525,,,0.0,
rxn09526,,,0.0,
rxn09563,,,0.0,
rxn10443,-2.4859657094435192,,-3.9415390864820052,
rxn10570,,,0.0,
rxn12191,,,-14.26936935105988,
rxn12211,0.0,,,
rxn12630,,,0.0,
rxn12740,,,0.0,
rxn13229,-3.694827466194738,-3.8030930032983292,-3.991431986310829,-3.9914319866725236
rxn13301,-4.971931418892382,-4.886538398822154,-4.989289982888636,-4.989289983340541
rxn13314,-1.9497770270166372,-1.9546153595289297,-1.995715993155386,-1.995715993336205
rxn13321,-4.874442567541564,-4.886538398822154,-4.989289982888636,-4.989289983340541
rxn13687,,,0.0,
rxn13734,,,0.0,
rxn13745,,,0.0,
rxn13746,,,0.0,
rxn13753,,,0.0,
rxn13790,,,0.0,
rxn13830,0.0,,,
rxn13927,0.0,-0.021227543151858548,,
rxn15116,0.0,,0.0,
rxn15494,,,0.0,
rxn16652,0.0,,,
rxn20173,,,0.0,
rxn24346,,,0.0,
rxn25657,0.8140319087760084,0.0110341189649346,0.4989289982891283,1.0228044465841095
rxn25741,,,,2.839572552028683e-13
rxn25762,0.0,,,
rxn29066,,,0.0,
rxn30002,,-0.21227543151858624,,
rxn30646,5.712846689161097,-1.1368683772161605e-13,5.338540281690253,0.8366655510526471
rxn30674,,,0.0,
rxn31585,,,,-0.046054984461635654
rxn31646,,-10.16820334344182,0.0,-14.967869950021537
rxn31706,14.340610033708025,,,
rxn31731,0.0,0.0,14.269369351059915,
rxn32592,-1.1368683772161605e-13,,,
rxn32949,,1.0231815394945445e-12,,
rxn33579,,,,0.0
rxn33850,-8.1988123986044,0.0,-9.28007936817249,-0.6985005976677392
rxn33860,1.1368683772161605e-13,,,
rxn33879,8.29630124995682,,7.883078172962787,8.781150370678606
rxn33892,0.28271766891582617,4.491411853025416,0.6985005976049854,
rxn33912,-0.4874442567541025,-0.4886538398821825,-0.49892899828885284,-0.4989289983340361
rxn33952,0.0,,,
rxn33974,,,,0.0
rxn33991,0.0,,,
rxn33992,0.0,,,
rxn33993,0.0,,,
rxn34006,0.0,-0.21227543151858624,,
rxn34008,,-3.3480669545473245,,-2.5112759582815087
rxn34028,0.0,0.0,,
rxn34053,,,0.0,
rxn34108,,-4.011164960927854,,-7.9828639733438
rxn34122,-4.874442567541725,-4.886538398820948,-3.6920745873371787,-4.989289983340548
rxn34130,-1.9497770270166117,-1.9546153595288742,-1.995715993155411,-1.9957159933362194
rxn37641,,,0.0,
rxn38495,0.814031908776059,0.011034118964937549,0.4989289982891283,1.022804446584999
rxn38906,-0.1072377364876964,-0.10613771575946959,,1.1368683772161605e-13
rxn38907,,,1.1368683772161605e-13,-2.273736754432321e-13
rxn38911,,,0.0,
rxn40745,1.4623327702624351,1.4659615196465552,1.4967869948666817,1.4967869950021395
rxn40943,,,,0.0
rxn41730,0.0,0.0,,
rxn42058,3.953172922276565,1.9567170964750815,3.991431986310829,
rxn42069,,,0.0,
rxn42988,2.4372212837702136,2.4432691994109663,2.4946449914440905,2.494644991669831
rxn43331,,,-2.5826793497611477e-13,0.0
rxn43341,,,,-3.155515799176196e-13
rxn43863,4.338253885111385,4.39788455893995,4.49036098459942,4.49036098500585
rxn44043,-5.849331081049854,-5.863846078586619,-5.987147979466272,-5.987147980008729
rxn46214,3.8995540540332745,3.9092307190577458,3.991431986310829,3.9914319866725236
rxn47074,0.48744425675414504,0.5947915556416206,0.4989289982888479,0.4989289983340086
rxn47348,,,2.5826793497611477e-13,
rxn47471,0.9748885135083469,0.9773076797643512,0.9978579965776958,0.9978579966680741
rxn47859,4.494236047275592,4.39788455893995,4.490360984599647,4.490360985006475
