reaction,name,Exuding_mycelium,Fuzzy_mycelium,Exudophore,Nodule,gpr
BIOMASS_fungal,Coarse fungal biomass (uncurated),1,1,1,1,
EX_cpd00007_e,O2 exchange,0,0,1,0,
EX_cpd00011_e,CO2 exchange,0,0,1,0,
EX_cpd00018_e,AMP exchange,1,1,1,1,
EX_cpd00023_e,L-Glutamate exchange,1,1,1,1,
EX_cpd00033_e,Glycine exchange,1,1,1,1,
EX_cpd00035_e,L-Alanine exchange,1,1,1,1,
EX_cpd00039_e,L-Lysine exchange,1,1,1,1,
EX_cpd00041_e,L-Aspartate exchange,1,1,1,1,
EX_cpd00048_e,Sulfate exchange,1,1,0,0,
EX_cpd00051_e,L-Arginine exchange,1,1,1,1,
EX_cpd00053_e,L-Glutamine exchange,1,1,1,1,
EX_cpd00054_e,L-Serine exchange,1,1,1,1,
EX_cpd00060_e,L-Methionine exchange,1,1,1,1,
EX_cpd00065_e,L-Tryptophan exchange,1,1,1,1,
EX_cpd00066_e,L-Phenylalanine exchange,1,1,1,1,
EX_cpd00067_e,H+ exchange,0,1,0,0,
EX_cpd00069_e,L-Tyrosine exchange,1,1,1,1,
EX_cpd00076_e,Sucrose exchange,1,1,0,0,
EX_cpd00084_e,L-Cysteine exchange,1,1,1,1,
EX_cpd00107_e,L-Leucine exchange,1,1,1,1,
EX_cpd00116_e,Methanol exchange,0,0,1,0,
EX_cpd00119_e,L-Histidine exchange,1,1,1,1,
EX_cpd00129_e,L-Proline exchange,1,1,1,1,
EX_cpd00132_e,L-Asparagine exchange,1,1,1,1,
EX_cpd00156_e,L-Valine exchange,1,1,1,1,
EX_cpd00161_e,L-Threonine exchange,1,1,1,1,
EX_cpd00220_e,Riboflavin exchange,1,1,1,1,
EX_cpd00322_e,L-Isoleucine exchange,1,1,1,1,
rxn00060,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransfera,0,0,1,0,KAN1674408.1
rxn00078,ATP:NADH 2'-phosphotransferase,1,1,1,1,KAN1677485.1
rxn00122,rxn00122,1,1,1,1,
rxn00148,ATP:pyruvate 2-O-phosphotransferase,1,1,1,0,KAN1675063.1
rxn00154,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating),1,1,0,0,KAN1670991.1 or KAN1674842.1
rxn00168,pyruvate carboxy-lyase (acetaldehyde-forming),0,1,0,1,KAN1681251.1
rxn00170,Acetyl-CoA hydrolase,1,0,1,1,KAN1670745.1
rxn00175,Acetate:CoA ligase (AMP-forming),0,0,0,1,KAN1672304.1
rxn00182,L-glutamate:NAD+ oxidoreductase (deaminating),1,1,1,0,KAN1680938.1
rxn00191,L-Alanine:2-oxoglutarate aminotransferase,1,0,0,0,KAN1670880.1 or KAN1672177.1
rxn00237,ATP:GDP phosphotransferase,0,0,0,1,KAN1671197.1
rxn00247,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming,1,1,1,0,KAN1677787.1 or KAN1677788.1
rxn00248,(S)-malate:NAD+ oxidoreductase,1,1,1,1,KAN1688363.1 or KAN1692334.1 or KAN1694167.1
rxn00250,Pyruvate:carbon-dioxide ligase (ADP-forming),1,0,1,1,KAN1679063.1 or KAN1692814.1
rxn00260,L-Aspartate:2-oxoglutarate aminotransferase,1,1,1,0,KAN1671687.1
rxn00284,succinate:NAD+ oxidoreductase,0,0,1,0,KAN1677843.1 or KAN1678765.1
rxn00304,GTP:pyruvate 2-O-phosphotransferase,0,1,0,0,KAN1675063.1
rxn00330,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-",1,1,0,1,KAN1677344.1
rxn00340,L-aspartate:ammonia ligase (AMP-forming),1,1,0,0,KAN1671669.1
rxn00392,ATP:riboflavin 5'-phosphotransferase,1,1,1,1,KAN1687454.1
rxn00409,ATP:CDP phosphotransferase,0,1,1,0,KAN1671197.1
rxn00416,L-aspartate:L-glutamine amido-ligase (AMP-forming),1,0,0,0,KAN1671669.1
rxn00432,Methanol:oxygen oxidereductase,0,0,1,0,KAN1685804.1 or KAN1685806.1 or KAN1691137.1 or KAN1692593.1
rxn00460,UTP:pyruvate 2-O-phosphotransferase,0,0,0,1,KAN1675063.1
rxn00467,L-Ornithine:2-oxo-acid aminotransferase,1,1,0,0,KAN1688424.1
rxn00506,Acetaldehyde:NAD+ oxidoreductase,1,0,0,1,KAN1677623.1 or KAN1683068.1 or KAN1687314.1 or KAN1690470.1
rxn00507,Acetaldehyde:NADP+ oxidoreductase,1,0,1,1,KAN1677623.1 or KAN1683068.1 or KAN1687314.1 or KAN1690470.1
rxn00533,Acetyl-CoA:carbon-dioxide ligase (ADP-forming),0,0,0,1,KAN1678866.1
rxn00566,L-Cysteine hydrogen-sulfide-lyase (deaminating; pyruvate-forming),0,1,0,0,KAN1693019.1
