tissue,reaction,metabolite,max_flux
Exudophore,EX_cpd00116_e,Methanol,0.0
Exudophore,EX_cpd00018_e,AMP,8.993080465735327
Exudophore,EX_cpd00007_e,O2,0.0
Exudophore,EX_cpd00011_e,CO2,2.7304616864249e-13
Exudophore,EX_cpd00220_e,Riboflavin,-0.177866158391851
Exudophore,EX_cpd00035_e,L-Alanine,-8.003977127633181
Exudophore,EX_cpd00051_e,L-Arginine,-4.446653959796276
Exudophore,EX_cpd00132_e,L-Asparagine,-3.5573231678370205
Exudophore,EX_cpd00041_e,L-Aspartate,-4.4466539597963886
Exudophore,EX_cpd00084_e,L-Cysteine,-0.889330791959255
Exudophore,EX_cpd00053_e,L-Glutamine,-4.446653959796276
Exudophore,EX_cpd00023_e,L-Glutamate,-8.00397712763341
Exudophore,EX_cpd00033_e,Glycine,-7.114646335674042
Exudophore,EX_cpd00119_e,L-Histidine,-1.7786615839185105
Exudophore,EX_cpd00322_e,L-Isoleucine,-4.446653959796276
Exudophore,EX_cpd00107_e,L-Leucine,-7.114646335674041
Exudophore,EX_cpd00039_e,L-Lysine,-5.3359847517555306
Exudophore,EX_cpd00060_e,L-Methionine,-1.7786615839185105
Exudophore,EX_cpd00066_e,L-Phenylalanine,-2.667992375877766
Exudophore,EX_cpd00129_e,L-Proline,-3.557323167837021
Exudophore,EX_cpd00054_e,L-Serine,-4.446653959796276
Exudophore,EX_cpd00161_e,L-Threonine,-4.446653959796277
Exudophore,EX_cpd00065_e,L-Tryptophan,-0.8893307919592554
Exudophore,EX_cpd00069_e,L-Tyrosine,-1.7786615839185107
Exudophore,EX_cpd00156_e,L-Valine,-5.3359847517555306
Nodule,EX_cpd00018_e,AMP,9.770260259540658
Nodule,EX_cpd00220_e,Riboflavin,-0.177866158391504
Nodule,EX_cpd00035_e,L-Alanine,-8.003977127617905
Nodule,EX_cpd00051_e,L-Arginine,-4.4466539597876
Nodule,EX_cpd00132_e,L-Asparagine,-3.5573231678300794
Nodule,EX_cpd00041_e,L-Aspartate,-4.446653959787599
Nodule,EX_cpd00084_e,L-Cysteine,-0.88933079195752
Nodule,EX_cpd00053_e,L-Glutamine,-4.446653959787598
Nodule,EX_cpd00023_e,L-Glutamate,-8.003977127617677
Nodule,EX_cpd00033_e,Glycine,-7.114646335660046
Nodule,EX_cpd00119_e,L-Histidine,-1.7786615839150401
Nodule,EX_cpd00322_e,L-Isoleucine,-4.446653959787598
Nodule,EX_cpd00107_e,L-Leucine,-7.114646335660159
Nodule,EX_cpd00039_e,L-Lysine,-5.335984751745119
Nodule,EX_cpd00060_e,L-Methionine,-1.7786615839150401
Nodule,EX_cpd00066_e,L-Phenylalanine,-2.6679923758725597
Nodule,EX_cpd00129_e,L-Proline,-3.5573231678300794
Nodule,EX_cpd00054_e,L-Serine,-4.446653959787599
Nodule,EX_cpd00161_e,L-Threonine,-4.446653959787599
Nodule,EX_cpd00065_e,L-Tryptophan,-0.8893307919575197
Nodule,EX_cpd00069_e,L-Tyrosine,-1.7786615839150397
Nodule,EX_cpd00156_e,L-Valine,-5.335984751745118
