tissue,mtDNA_encoded_norm,nuclear_mito_norm,ratio
Exuding mycelium,3130.9,5189.6,0.6033
Exudophore,9394.0,6331.2,1.4838
Fuzzy mycelium,3108.8,5200.7,0.5978
Nodule,5073.3,7696.6,0.6592
