"module","gene","module_membership"
"skyblue3","AAD021_000221",0.959
"skyblue3","AAD021_002803",0.946
"skyblue3","AAD021_000678",0.946
"skyblue3","AAD021_009798",0.936
"skyblue3","AAD021_001568",0.934
"skyblue3","AAD021_007309",0.927
"skyblue3","AAD021_004684",0.926
"skyblue3","AAD021_006290",0.92
"skyblue3","AAD021_004683",0.907
"skyblue3","AAD021_004412",0.903
"skyblue3","AAD021_010962",0.902
"skyblue3","AAD021_005750",0.9
"skyblue3","AAD021_011693",0.9
"skyblue3","AAD021_001034",0.863
"skyblue3","AAD021_006380",0.863
"skyblue3","AAD021_000946",0.86
"skyblue3","AAD021_009693",0.851
"skyblue3","AAD021_009884",0.851
"skyblue3","AAD021_011089",0.839
"plum1","AAD021_002966",0.923
"plum1","AAD021_008351",0.899
"plum1","AAD021_003177",0.897
"plum1","AAD021_000909",0.891
"plum1","AAD021_006938",0.882
"plum1","AAD021_002370",0.882
"plum1","AAD021_004764",0.876
"plum1","AAD021_010608",0.871
"plum1","AAD021_002402",0.87
"plum1","AAD021_008002",0.868
"plum1","AAD021_007039",0.861
"plum1","AAD021_007801",0.857
"plum1","AAD021_002611",0.852
"plum1","AAD021_008230",0.838
"plum1","AAD021_007822",0.83
"plum1","AAD021_002787",0.827
"plum1","AAD021_003697",0.823
"plum1","AAD021_000514",0.802
"plum1","AAD021_008304",0.793
"plum1","AAD021_007764",0.785
