"module","gene","module_membership"
"lightyellow","AAD021_003385",0.884
"lightyellow","AAD021_002305",0.868
"lightyellow","AAD021_012506",0.864
"lightyellow","AAD021_008792",0.857
"lightyellow","AAD021_004877",0.856
"lightyellow","AAD021_012208",0.854
"lightyellow","AAD021_008500",0.852
"lightyellow","AAD021_006420",0.849
"lightyellow","AAD021_011095",0.843
"lightyellow","AAD021_002903",0.836
"lightyellow","AAD021_000389",0.835
"lightyellow","AAD021_000662",0.831
"lightyellow","AAD021_006274",0.83
"lightyellow","AAD021_003130",0.826
"lightyellow","AAD021_006073",0.823
"lightyellow","AAD021_009231",0.816
"sienna3","AAD021_004012",0.969
"sienna3","AAD021_001533",0.965
"sienna3","AAD021_008004",0.95
"sienna3","AAD021_002561",0.934
"sienna3","AAD021_008295",0.928
"sienna3","AAD021_008772",0.926
"sienna3","AAD021_000844",0.923
"sienna3","AAD021_012271",0.919
"sienna3","AAD021_010042",0.919
"sienna3","AAD021_003103",0.919
"sienna3","AAD021_008363",0.914
"sienna3","AAD021_007017",0.902
"sienna3","AAD021_012514",0.898
"sienna3","AAD021_000606",0.897
"sienna3","AAD021_007679",0.897
"sienna3","AAD021_001459",0.892
"sienna3","AAD021_001834",0.891
"sienna3","AAD021_006034",0.873
"sienna3","AAD021_000319",0.863
"sienna3","AAD021_002508",0.858
"green","AAD021_007817",0.981
"green","AAD021_008039",0.98
"green","AAD021_002694",0.976
"green","AAD021_004182",0.971
"green","AAD021_002375",0.964
"green","AAD021_008907",0.957
"green","AAD021_009089",0.953
"green","AAD021_007278",0.953
"green","AAD021_006004",0.951
"green","AAD021_011652",0.947
"green","AAD021_007033",0.945
"green","AAD021_001187",0.942
"green","AAD021_009515",0.941
"green","AAD021_004643",0.938
"green","AAD021_004363",0.938
"green","AAD021_003852",0.93
"green","AAD021_002489",0.927
"green","AAD021_005196",0.926
"green","AAD021_006326",0.919
"green","AAD021_002296",0.913
"grey60","AAD021_006198",0.942
"grey60","AAD021_000791",0.938
"grey60","AAD021_001793",0.926
"grey60","AAD021_010610",0.917
"grey60","AAD021_005003",0.914
"grey60","AAD021_000236",0.893
"grey60","AAD021_006315",0.892
"grey60","AAD021_008949",0.882
"grey60","AAD021_004136",0.875
"grey60","AAD021_009056",0.871
"grey60","AAD021_005165",0.87
"grey60","AAD021_010941",0.868
"grey60","AAD021_009772",0.866
"grey60","AAD021_007555",0.863
"grey60","AAD021_001623",0.854
"grey60","AAD021_007929",0.853
"grey60","AAD021_001441",0.852
