"gene","module"
"AAD021_012073","salmon"
"AAD021_011365","lightgreen"
"AAD021_011496","turquoise"
"AAD021_011518","turquoise"
"AAD021_011545","grey"
"AAD021_011637","purple"
"AAD021_011639","cyan"
"AAD021_011641","lightsteelblue1"
"AAD021_011643","brown"
"AAD021_011644","orangered4"
"AAD021_011645","darkgreen"
"AAD021_011646","black"
"AAD021_011647","blue"
"AAD021_011649","darkgrey"
"AAD021_011651","darkorange"
"AAD021_011652","green"
"AAD021_011655","orange"
"AAD021_011657","brown"
"AAD021_011659","paleturquoise"
"AAD021_011662","salmon"
"AAD021_011663","yellowgreen"
"AAD021_011664","purple"
"AAD021_011667","cyan"
"AAD021_011668","yellow"
"AAD021_011669","yellow"
"AAD021_011678","lightcyan"
"AAD021_011679","pink"
"AAD021_011681","brown"
"AAD021_011682","pink"
"AAD021_011684","grey60"
"AAD021_011685","blue"
"AAD021_011686","royalblue"
"AAD021_011687","turquoise"
"AAD021_011688","turquoise"
"AAD021_011689","pink"
"AAD021_011690","grey60"
"AAD021_011693","skyblue3"
"AAD021_011696","cyan"
"AAD021_011699","salmon"
"AAD021_011700","blue"
"AAD021_011701","grey"
"AAD021_011706","blue"
"AAD021_011709","brown"
"AAD021_011710","yellowgreen"
"AAD021_011711","darkgreen"
"AAD021_011712","red"
"AAD021_011713","yellow"
"AAD021_011714","greenyellow"
"AAD021_011716","tan"
"AAD021_011717","grey"
"AAD021_011718","skyblue3"
"AAD021_011721","lightyellow"
"AAD021_011723","turquoise"
"AAD021_011724","turquoise"
"AAD021_011725","mediumpurple3"
"AAD021_011727","blue"
"AAD021_011728","green"
"AAD021_011731","lightsteelblue1"
"AAD021_011733","grey"
"AAD021_011735","black"
"AAD021_011738","red"
"AAD021_011739","green"
"AAD021_010859","turquoise"
"AAD021_010874","darkred"
"AAD021_010882","orangered4"
"AAD021_010890","green"
"AAD021_010894","greenyellow"
"AAD021_010898","darkmagenta"
"AAD021_010899","brown"
"AAD021_010900","brown"
"AAD021_010901","darkorange"
"AAD021_010902","brown"
