tissue,n,mapped_genes,reactions,metabolites,genes,flux_samples
Exuding mycelium,3,881,109,122,77,500
Exudophore,2,881,124,147,76,500
Fuzzy mycelium,4,881,100,108,53,500
Nodule,3,881,93,109,53,500
