rxn00060,rxn00078,rxn00148,rxn00170,rxn00182,rxn00247,rxn00248,rxn00250,rxn00260,rxn00284,rxn00392,rxn00409,rxn00432,rxn00507,rxn00747,rxn00839,rxn01211,rxn01465,rxn01673,rxn05231,rxn05817,rxn05818,rxn05819,rxn05846,rxn05847,rxn05848,rxn06076,rxn10443,rxn12191,rxn15116,rxn15494,rxn20173,rxn24346,rxn25657,rxn31646,rxn31731,rxn33850,rxn33879,rxn33892,rxn33912,rxn34053,rxn37641,rxn38495,rxn38907,rxn38911,EX_cpd00116_e,EX_cpd00018_e,rxn05222,rxn05224,rxn05467,rxn05468,rxn05485,rxn05497,rxn08154,rxn08170,rxn08856,rxn08982,rxn09001,rxn09003,rxn09193,rxn09243,rxn09273,rxn09295,rxn09304,rxn09524,rxn09525,rxn09526,rxn09563,rxn10570,rxn12630,rxn12740,rxn13229,rxn13301,rxn13314,rxn13321,rxn13687,rxn13734,rxn13745,rxn13746,rxn13753,rxn13790,rxn29066,rxn30646,rxn30674,rxn34122,rxn34130,rxn40745,rxn42058,rxn42069,rxn42988,rxn43331,rxn43863,rxn44043,rxn46214,rxn47074,rxn47348,rxn47471,rxn47859,EX_cpd00007_e,EX_cpd00011_e,EX_cpd00220_e,EX_cpd00035_e,EX_cpd00051_e,EX_cpd00132_e,EX_cpd00041_e,EX_cpd00084_e,EX_cpd00053_e,EX_cpd00023_e,EX_cpd00033_e,EX_cpd00119_e,EX_cpd00322_e,EX_cpd00107_e,EX_cpd00039_e,EX_cpd00060_e,EX_cpd00066_e,EX_cpd00129_e,EX_cpd00054_e,EX_cpd00161_e,EX_cpd00065_e,EX_cpd00069_e,EX_cpd00156_e,rxn07095,rxn00122,BIOMASS_fungal
-5.0983428070601715e-14,0.5001111111108835,1.1368683772161603e-13,7.901755555549545,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,9.302066666658426,1.1368683772161603e-13,-1.1368683772161603e-13,0.20004444444418823,1.0002222222212822,0.0,0.0,0.0,1.000222222221396,0.0,0.0,-1.000222222221396,1.0002222222212978,-1.0002222222213164,-2.000444444442683,-1.0002222222213164,-2.0004444444426333,-1.0002222222211155,-2.0004444444426333,1.0002222222212978,-3.950877777773989,-14.303177777765768,0.0,0.0,0.0,0.0,0.5001111111107516,0.0,14.303177777765827,-9.302066666658426,7.901755555549546,0.700155555554265,-0.5001111111106583,0.0,0.0,0.5001111111107516,1.1368683772161603e-13,0.0,0.0,8.101799999993158,1.0002222222212822,0.20004444444436387,-3.410605131648481e-13,0.0,3.410605131648481e-13,-0.2000444444436198,-5.001111111106752,-5.001111111106866,-6.001333333328034,0.0,1.1368683772161603e-13,0.0,-4.000888888885356,2.2737367544323206e-13,0.0,-1.500333333332037,-1.3002888888861435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.000888888885356,-5.001111111106752,-2.0004444444429055,-5.001111111106752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.351188888884167,0.0,-3.700822222220561,-2.0004444444426333,1.5003333333321507,4.000888888885356,0.0,2.5005555555532055,-2.5826793497611477e-13,4.50099999999577,-6.001333333328034,4.000888888885356,0.5001111111107548,2.5826793497611477e-13,1.0002222222212822,4.500999999996111,0.0,2.730461686424897e-13,-0.2000444444443639,-9.001999999992119,-5.001111111106674,-4.000888888885388,-5.001111111106839,-1.000222222221506,-5.001111111106674,-9.00199999999135,-8.001777777770473,-2.0004444444428744,-5.001111111106674,-8.001777777770473,-6.001333333327744,-2.0004444444429126,-3.0006666666637978,-4.000888888885388,-5.001111111106418,-5.001111111106602,-1.000222222221371,-2.0004444444426337,-6.001333333327744,-1.0002222222215782,0.20004444444427952,100.02222222213165
-5.0983428070601715e-14,0.47233344444428,1.1368683772161603e-13,7.462868422217147,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,8.785402066660309,1.1368683772161603e-13,-1.1368683772161603e-13,0.1889333777775164,0.9446668888881504,0.0,0.0,0.0,0.9446668888882641,0.0,0.0,-0.9446668888881504,0.9446668888881876,-0.9446668888881967,-1.8893337777763182,-0.9446668888881967,-1.8893337777763939,-0.9446668888881492,-1.8893337777763939,0.9446668888881876,-3.731434211108448,-13.508736511101233,0.0,0.0,0.0,0.0,0.47233344444424835,0.0,13.508736511101224,-8.785402066660307,7.462868422217148,0.6612668222216213,-0.4723334444440984,0.0,0.0,0.47233344444424835,1.1368683772161603e-13,0.0,0.0,7.651801799994814,0.9446668888881504,0.18893337777763536,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.18893337777774377,-4.7233344444409795,-4.723334444440866,-5.66800133332913,0.0,1.1368683772161603e-13,0.0,-3.778667555552829,2.2737367544323206e-13,0.0,-1.4170003333325667,-1.2280669555542545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.778667555552829,-4.7233344444409795,-1.8893337777764145,-4.7233344444409795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.053967855551605,0.0,-3.495267488886801,-1.8893337777763937,1.417000333332453,3.778667555552829,0.0,2.3616672222204897,-2.5826793497611477e-13,4.251000999996791,-5.66800133332913,3.778667555552829,0.4723334444439615,2.5826793497611477e-13,0.9446668888881504,4.251000999997018,0.0,2.730461686424897e-13,-0.18893337777763536,-8.50200199999369,-4.723334444441016,-3.778667555552887,-4.723334444440851,-0.9446668888883458,-4.723334444441016,-8.502001999993434,-7.557335111105611,-1.889333777776411,-4.723334444441016,-7.557335111105611,-5.668001333329053,-1.8893337777765176,-2.8340006666644584,-3.778667555552887,-4.723334444441008,-4.723334444441016,-0.9446668888882126,-1.8893337777763932,-5.668001333329053,-0.9446668888881721,0.18893337777763936,94.46668888881968
-5.0983428070601715e-14,0.5278887777776947,1.1368683772161603e-13,8.340642688885037,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,9.81873126666214,1.1368683772161603e-13,-1.1368683772161603e-13,0.21115551111097375,1.0557775555549824,0.0,0.0,0.0,1.0557775555550961,0.0,0.0,-1.0557775555548687,1.0557775555549709,-1.0557775555550906,-2.1115551111099693,-1.0557775555550906,-2.1115551111101816,-1.0557775555551558,-2.1115551111101816,1.0557775555549709,-4.1703213444430745,-15.097619044439057,0.0,0.0,0.0,0.0,0.5278887777776381,0.0,15.097619044439085,-9.818731266662137,8.340642688884776,0.7390442888892202,-0.5278887777775454,0.0,0.0,0.5278887777776381,1.1368683772161603e-13,0.0,0.0,8.551798199998164,1.0557775555550961,0.21115551111096664,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.21115551111164257,-5.278887777775708,-5.278887777775253,-6.334665333329667,0.0,1.1368683772161603e-13,0.0,-4.223110222220271,2.2737367544323206e-13,0.0,-1.5836663333326442,-1.3725108222220115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.223110222220271,-5.278887777775481,-2.1115551111100785,-5.278887777775481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.648409922219116,0.0,-3.9063769555539474,-2.1115551111101816,1.5836663333326442,4.223110222220271,0.0,2.6394438888880813,-2.5826793497611477e-13,4.7509989999975915,-6.334665333330463,4.223110222220271,0.5278887777775481,2.5826793497611477e-13,1.0557775555550961,4.7509989999979325,0.0,2.730461686424897e-13,-0.21115551111086459,-9.501997999995686,-5.278887777775935,-4.2231102222203605,-5.2788877777753145,-1.0557775555553128,-5.27888777777548,-9.501997999994915,-8.446220444440726,-2.111555111110322,-5.27888777777548,-8.446220444440595,-6.334665333329497,-2.1115551111104294,-3.1673326666651285,-4.223110222220419,-5.27888777777614,-5.278887777775977,-1.0557775555551192,-2.1115551111101816,-6.334665333330397,-1.0557775555549538,0.21115551111101813,105.57775555550907
-5.0983428070601715e-14,0.4584168334443116,1.1368683772161603e-13,7.242985968420116,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,8.526553102060644,1.1368683772161603e-13,-1.1368683772161603e-13,0.18336673337762477,0.9168336668880102,0.0,0.0,0.0,0.9168336668881238,0.0,0.0,-0.9168336668881238,0.9168336668880422,-0.916833666888147,-1.8336673337762406,-0.916833666888147,-1.8336673337762945,-0.9168336668882437,-1.8336673337762945,0.9168336668880424,-3.621492984207402,-13.110721436503127,0.0,0.0,0.0,0.0,0.4584168334442865,0.0,13.110721436503207,-8.526553102060642,7.242985968418765,0.641783566820627,-0.45841683344411766,0.0,0.0,0.45841683344419165,1.1368683772161603e-13,0.0,0.0,7.426352701796785,0.9168336668881238,0.1833667333777242,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.18336673337650938,-4.58416833444096,-4.584168334440619,-5.501002001329653,0.0,1.1368683772161603e-13,0.0,-3.66733466755295,2.2737367544323206e-13,0.0,-1.3752505003324131,-1.1918837669528557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.667334667552609,-4.584168334440847,-1.833667333776475,-4.584168334440847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.905060117852827,0.0,-3.3922845674883293,-1.8336673337762943,1.3752505003324131,3.667334667552609,0.0,2.292084167220196,-2.5826793497611477e-13,4.125751500997694,-5.50100200132897,3.667334667552609,0.45841683344394824,2.5826793497611477e-13,0.9168336668881238,4.125751500996785,0.0,2.730461686424897e-13,-0.1833667333774414,-8.251503001993303,-4.584168334440891,-3.667334667552586,-4.584168334440513,-0.9168336668882482,-4.584168334440725,-8.2515030019951,-7.334669335105174,-1.8336673337764005,-4.584168334440725,-7.3346693351050805,-5.501002001329552,-1.8336673337765763,-2.750501000664295,-3.667334667552983,-4.58416833444034,-4.584168334441222,-0.9168336668882429,-1.8336673337762939,-5.501002001328818,-0.9168336668882393,0.18336673337762943,91.68336668881471
-5.0983428070601715e-14,0.5140277221075994,1.1368683772161603e-13,8.121638009295005,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,9.560915631198045,1.1368683772161603e-13,-1.1368683772161603e-13,0.2056110888428293,1.028055444214715,0.0,0.0,0.0,1.0280554442148286,0.0,0.0,-1.0280554442148286,1.0280554442147776,-1.0280554442148293,-2.056110888429602,-1.0280554442148293,-2.056110888429659,-1.0280554442149727,-2.056110888429659,1.0280554442147776,-4.0608190046497405,-14.70119285227372,0.0,0.0,0.0,0.0,0.514027722107539,0.0,14.701192852273802,-9.560915631198045,8.121638009295868,0.7196388109517867,-0.5140277221074147,0.0,0.0,0.514027722107539,1.1368683772161603e-13,0.0,0.0,8.32724909814066,1.0280554442148286,0.20561108884289178,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.20561108884429918,-5.140277221074484,-5.1402772210740295,-6.168332665289313,0.0,1.1368683772161603e-13,0.0,-4.112221776859769,2.2737367544323206e-13,0.0,-1.5420831663225272,-1.3364720774806074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.112221776859315,-5.140277221074257,-2.056110888430112,-5.140277221074257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.50009662654827,0.0,-3.803805143593669,-2.056110888429659,1.5420831663222998,4.112221776859315,0.0,2.570138610537583,-2.5826793497611477e-13,4.626249498966786,-6.168332665288972,4.112221776859315,0.5140277221074712,2.5826793497611477e-13,1.0280554442148286,4.626249498966786,0.0,2.730461686424897e-13,-0.20561108884282883,-9.252498997933433,-5.140277221074712,-4.112221776859313,-5.140277221073983,-1.0280554442151413,-5.140277221074315,-9.252498997933433,-8.224443553718636,-2.056110888430039,-5.140277221074315,-8.224443553718642,-6.168332665289088,-2.056110888429762,-3.084166332644342,-4.112221776859835,-5.140277221075322,-5.140277221074149,-1.0280554442148482,-2.056110888429659,-6.168332665288664,-1.0280554442147631,0.20561108884296586,102.80554442148294
-5.0983428070601715e-14,0.48625005544417804,1.1368683772161603e-13,7.682750876016029,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,9.04425103126048,1.1368683772161603e-13,-1.1368683772161603e-13,0.1945000221776354,0.9725001108882907,0.0,0.0,0.0,0.9725001108882907,0.0,0.0,-0.9725001108882907,0.972500110888333,-0.9725001108881337,-1.9450002217763955,-0.9725001108881337,-1.9450002217762679,-0.9725001108880545,-1.9450002217762679,0.972500110888333,-3.841375438008877,-13.90675158570275,0.0,0.0,0.0,0.0,0.48625005544437294,0.0,13.906751585702738,-9.04425103126048,7.682750876016727,0.6807500776215935,-0.4862500554441207,0.0,0.0,0.4862500554443684,1.1368683772161603e-13,0.0,0.0,7.87725089819534,0.9725001108880633,0.19450002217767223,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.19450002217747284,-4.86250055444134,-4.86250055444043,-5.835000665330767,0.0,1.1368683772161603e-13,0.0,-3.8900004435536175,2.2737367544323206e-13,0.0,-1.4587501663327203,-1.2642501441544027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8900004435524806,-4.862500554440658,-1.9450002217765814,-4.862500554440658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.202875593251974,0.0,-3.598250410286613,-1.9450002217762674,1.4587501663323792,3.8900004435524806,0.0,2.431250277220329,-2.5826793497611477e-13,4.376250498997365,-5.835000665328835,3.8900004435524806,0.4862500554440885,2.5826793497611477e-13,0.9725001108880633,4.376250498996569,0.0,2.730461686424897e-13,-0.194500022177447,-8.75250099799305,-4.862500554441307,-3.890000443552533,-4.862500554440447,-0.9725001108881202,-4.862500554440644,-8.752500997994591,-7.780000887105068,-1.9450002217765583,-4.862500554440644,-7.780000887104889,-5.835000665330619,-1.9450002217764588,-2.9175003326642566,-3.89000044355358,-4.862500554440768,-4.862500554440976,-0.9725001108881823,-1.9450002217762687,-5.835000665328738,-0.9725001108882085,0.19450002217762674,97.25001108881338
-5.0983428070601715e-14,0.5417498334485361,1.1368683772161603e-13,8.559647368487454,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,10.076546902142569,1.1368683772161603e-13,-1.1368683772161603e-13,0.21669993337934557,1.0834996668968415,0.0,0.0,0.0,1.0834996668969552,0.0,0.0,-1.0834996668968415,1.0834996668969255,-1.083499666896982,-2.1669993337938287,-1.083499666896982,-2.166999333793964,-1.0834996668970664,-2.166999333793964,1.0834996668969257,-4.279823684242944,-15.494045236625766,0.0,0.0,0.0,0.0,0.5417498334486629,0.0,15.494045236625835,-10.076546902142569,8.559647368486617,0.7584497668274313,-0.541749833448491,0.0,0.0,0.5417498334486629,1.1368683772161603e-13,0.0,0.0,8.776347301867094,1.0834996668969552,0.21669993337941876,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.2166999333789859,-5.417498334484321,-5.417498334484776,-6.500998001381049,0.0,1.1368683772161603e-13,0.0,-4.333998667586798,2.2737367544323206e-13,0.0,-1.6252495003456033,-1.408549566965462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3339986675879345,-5.41749833448489,-2.1669993337939104,-5.41749833448489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.796723217898943,0.0,-4.0089487675187145,-2.166999333793964,1.6252495003454897,4.3339986675879345,0.0,2.708749167242445,-2.5826793497611477e-13,4.875748501035673,-6.500998001381845,4.3339986675879345,0.5417498334484208,2.5826793497611477e-13,1.0834996668969552,4.875748501036355,0.0,2.730461686424897e-13,-0.21669993337921412,-9.751497002072577,-5.417498334484268,-4.333998667587925,-5.41749833448469,-1.0834996668971026,-5.4174983344849315,-9.751497002071293,-8.667997335175853,-2.1669993337940108,-5.4174983344849315,-8.667997335175826,-6.500998001380928,-2.166999333794089,-3.2504990006908,-4.3339986675868545,-5.417498334484899,-5.417498334484268,-1.0834996668970422,-2.1669993337939637,-6.500998001381603,-1.083499666896817,0.21669993337939641,108.3499666896982
-5.0983428070601715e-14,0.4514446113333275,1.1368683772161603e-13,7.132824859066644,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,8.396869770796645,1.1368683772161603e-13,-1.1368683772161603e-13,0.180577844533218,0.9028892226659764,0.0,0.0,0.0,0.9028892226659764,0.0,0.0,-0.9028892226658627,0.9028892226658692,-0.9028892226659581,-1.8057784453317975,-0.9028892226659581,-1.8057784453319166,-0.902889222665958,-1.8057784453319166,0.9028892226658694,-3.5664124295313653,-12.911315884128726,0.0,0.0,0.0,0.0,0.4514446113337093,0.0,12.911315884128731,-8.396869770796643,7.132824859064028,0.6320224558650015,-0.45144461133320773,0.0,0.0,0.4514446113337007,1.1368683772161603e-13,0.0,0.0,7.313402703598285,0.9028892226659764,0.1805778445332617,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.18057784453179385,-4.514446113331246,-4.514446113329541,-5.417335335996768,0.0,1.1368683772161603e-13,0.0,-3.611556890665497,2.2737367544323206e-13,0.0,-1.354333834000272,-1.1737559894638707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.611556890663792,-4.514446113329768,-1.8057784453327486,-4.514446113329768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.830457341265287,0.0,-3.340690123867547,-1.8057784453319163,1.3543338339989077,3.611556890663792,0.0,2.25722305666568,-2.5826793497611477e-13,4.063001501997633,-5.417335335995745,3.611556890663792,0.45144461133293134,2.5826793497611477e-13,0.9028892226659764,4.0630015019969505,0.0,2.730461686424897e-13,-0.18057784453303305,-8.126003003993818,-4.514446113331308,-3.611556890663829,-4.5144461133295675,-0.9028892226661203,-4.514446113329651,-8.126003003995102,-7.223113781327662,-1.8057784453328196,-4.514446113329651,-7.223113781327551,-5.417335335996636,-1.8057784453320558,-2.7086676679977284,-3.6115568906655255,-4.514446113331352,-4.514446113331308,-0.9028892226660297,-1.8057784453319172,-5.417335335995683,-0.9028892226667339,0.18057784453319164,90.28892226659582
-5.0983428070601715e-14,0.46538905555242577,1.1368683772161603e-13,7.353147077727058,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,8.65623643327296,1.1368683772161603e-13,-1.1368683772161603e-13,0.18615562222089466,0.9307781111047007,0.0,0.0,0.0,0.9307781111047007,0.0,0.0,-0.930778111104587,0.9307781111045402,-0.9307781111046088,-1.86155622220916,-0.9307781111046088,-1.8615562222092181,-0.9307781111044839,-1.8615562222092181,0.9307781111045403,-3.6765735388639875,-13.310126988796583,0.0,0.0,0.0,0.0,0.4653890555524016,0.0,13.310126988796627,-8.65623643327296,7.35314707772553,0.6515446777738423,-0.4653890555523045,0.0,0.0,0.4653890555524016,1.1368683772161603e-13,0.0,0.0,7.539302699947149,0.930778111104587,0.1861556222209292,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.18615562222152782,-4.653890555522821,-4.653890555522821,-5.584668666627408,0.0,1.1368683772161603e-13,0.0,-3.7231124444185753,2.2737367544323206e-13,0.0,-1.3961671666569373,-1.2100115444364974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.723112444418348,-4.6538905555230485,-1.861556222209515,-4.6538905555230485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9796628944084205,0.0,-3.4438790110861532,-1.861556222209218,1.396167166657051,3.723112444418348,0.0,2.3269452777615243,-2.5826793497611477e-13,4.188501499971039,-5.5846686666276355,3.723112444418348,0.46538905555223664,2.5826793497611477e-13,0.930778111104587,4.188501499970812,0.0,2.730461686424897e-13,-0.18615562222076612,-8.377002999941677,-4.653890555522795,-3.723112444418433,-4.653890555522795,-0.9307781111045585,-4.6538905555229615,-8.377002999941935,-7.446224888836879,-1.8615562222092912,-4.6538905555229615,-7.446224888836761,-5.5846686666274215,-1.8615562222095026,-2.792334333313682,-3.7231124444186223,-4.653890555523236,-4.6538905555230725,-0.9307781111046705,-1.8615562222092183,-5.584668666627506,-0.9307781111044158,0.18615562222092177,93.0778111104609
-5.0983428070601715e-14,0.5070833332209654,1.1368683772161603e-13,8.011916664889624,2.2737367544323206e-13,1.2321535874460406e-13,1.1368683772161603e-13,9.431749997907788,1.1368683772161603e-13,-1.1368683772161603e-13,0.20283333328825393,1.014166666441497,0.0,0.0,0.0,1.0141666664416107,0.0,0.0,-1.014166666441497,1.0141666664415019,-1.0141666664417084,-2.0283333328831636,-1.0141666664417084,-2.0283333328834177,-1.0141666664418871,-2.0283333328834177,1.0141666664415019,-4.0059583324449894,-14.50258333011584,0.0,0.0,0.0,0.0,0.5070833332210131,0.0,14.502583330115836,-9.431749997907788,8.011916664889624,0.7099166665092136,-0.5070833332208535,0.0,0.0,0.5070833332210131,1.1368683772161603e-13,0.0,0.0,8.214749998177986,1.0141666664416107,0.20283333328832337,2.2737367544323206e-13,0.0,3.410605131648481e-13,-0.20283333328836017,-5.070833332208508,-5.0708333322083945,-6.0849999986502326,0.0,1.1368683772161603e-13,0.0,-4.056666665766784,2.2737367544323206e-13,0.0,-1.5212499996627002,-1.318416666374219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.056666665766784,-5.070833332208508,-2.0283333328834487,-5.070833332208508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.425791665462725,0.0,-3.752416665834323,-2.0283333328834168,1.5212499996625866,4.056666665766784,0.0,2.535416666104311,-2.5826793497611477e-13,4.563749998987532,-6.0849999986502326,4.056666665766784,0.5070833332208622,2.5826793497611477e-13,1.0141666664416107,4.56374999898776,0.0,2.730461686424897e-13,-0.2028333332883234,-9.127499997975168,-5.070833332208466,-4.056666665766838,-5.0708333322083,-1.0141666664416942,-5.070833332208466,-9.12749999797491,-8.11333333153347,-2.0283333328833137,-5.070833332208466,-8.11333333153347,-6.084999998649982,-2.028333332883693,-3.0424999993249564,-4.056666665766838,-5.0708333322086,-5.07083333220854,-1.0141666664416942,-2.0283333328834168,-6.084999998649982,-1.0141666664416449,0.20283333328834172,101.41666664417085
