Metric	Value
Input Reads	5583009
Mapped Reads	1474495
Unmapped Reads	4108497
Unique Mapped Reads	1947
Multiple Mapped Reads	1472548
Mapping Rate	26.41039983994294
Dedup Mapped Reads	724699
Dedup Unmapped Reads	0
Dedup Uniquely Mapped Reads	997
Dedup Multi Mapped Reads	723702
Dedup Mapped Reads Rate	12.980437609898173
