Metric	Value
Input Reads	3338514
Mapped Reads	512164
Unmapped Reads	2826333
Unique Mapped Reads	526
Multiple Mapped Reads	511638
Mapping Rate	15.341076898284687
Dedup Mapped Reads	280632
Dedup Unmapped Reads	0
Dedup Uniquely Mapped Reads	320
Dedup Multi Mapped Reads	280312
Dedup Mapped Reads Rate	8.405895557125117
