Metric	Value
Input Reads	2471479
Mapped Reads	585675
Unmapped Reads	1885797
Unique Mapped Reads	453
Multiple Mapped Reads	585222
Mapping Rate	23.69734883444286
Dedup Mapped Reads	316389
Dedup Unmapped Reads	0
Dedup Uniquely Mapped Reads	259
Dedup Multi Mapped Reads	316130
Dedup Mapped Reads Rate	12.801605840065807
